huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
14040103,193.6054264620508,146.47907813722392,69.76151464958244,279.8859440618893,306.7951667179809,225.136697626668,998.9168911841768,245.8694001923525
14040104,280.45223616471736,229.29495052300464,133.64223602701142,351.3966033645333,355.7714065121817,325.20911811620954,1024.6397688387551,292.7999374913599
14040102,425.04037099020366,464.933216235796,297.47682259359107,429.0107176376745,391.1747274796596,385.4208091926714,944.7862388384768,574.0050704853006
10180006,315.8738243296208,327.94702949932224,196.53498315033903,430.4449782365389,342.8439236753116,322.7623180941513,1119.2926684767344,402.8427380168548
14040200,256.9162616414412,230.68627001010125,103.80020595567724,339.4438254232133,303.01145775133256,359.0721218379161,1083.9254342144725,294.50309736246385
14040105,255.09730221841096,189.09097652197795,124.84948395146426,348.9299432486235,325.5294748894671,339.2167681801488,1052.9931322306331,262.3199022510038
10180003,393.8222056441167,472.6868888050439,277.97523782317097,476.4345699484707,383.1116784203218,369.2162816176751,1160.5263843007897,369.6221656698988
15020003,306.8998072470979,325.5347511450922,234.148946571118,374.8762974586062,333.7138393921502,352.9956462426288,1438.7068245704056,265.6345462362947
14080106,179.97709273564897,157.6996843521368,126.62234943395704,260.8898326980673,250.4184594657113,190.88276651927592,1508.8190395020267,200.87581550535072
15020004,377.5836423503973,358.7936082383122,290.0162032762599,469.5889212015322,359.8992173910265,483.9667046916276,1514.4171833995504,295.4120917988805
15020006,384.34094851882776,430.5672588853751,355.33872916235833,461.6014075863232,391.85009816797066,365.1394045452969,1564.6292392480298,286.601938116757
15020002,251.93118487437897,179.0098755914042,170.31007629418886,314.08003309725046,294.27296699703084,427.0794984299896,1457.5530798472723,246.2100608251796
15020001,407.661011472988,361.1912016642502,407.76425647070494,483.3263921278194,416.6207872896994,402.53234929698095,1365.4843130989748,358.43809717206034
14080205,241.7265677090839,146.28600626686952,200.64321146049872,336.0170787507843,262.91301147890226,396.5758524871471,1556.812544200825,149.3209173696667
14070006,271.3358052546624,142.20493908582068,212.1281077467536,358.9161309733577,287.9900288418139,452.9653800591062,1510.832979854206,152.71928846427596
14070007,310.0901334354183,207.69579342664795,246.9477472956948,390.5586185185226,336.4319676499059,452.78896388697945,1403.4470738974394,212.53308388200097
14080107,453.3025383259597,395.9093415905953,379.18185192667545,552.3914902244869,446.88173776133016,552.9727853672906,1423.3904531234568,322.0848696956565
14080101,534.9591012778112,511.2035660259241,477.3079257784776,590.5897175171825,534.4159883294375,614.409817515454,1235.984470662579,447.2726558661556
14080104,566.5510007519193,591.699518771035,561.7445201581694,594.1938008950891,503.21621297717087,597.7042900047229,1173.366648986476,573.5472078452683
14030005,299.326191837741,203.06684409416297,254.5964571362973,380.7150399966097,332.0331755655609,391.607342672742,1345.7885361997348,233.1354092238448
14030002,557.0843989815517,521.0374294244783,540.563104539161,600.391521365563,493.15038667030944,604.7536773402198,1256.3838480573936,436.9531800713741
14080203,407.6811329184357,372.7830701930456,330.716820715342,506.935235178252,424.5007825372062,438.3359691929763,1482.6211092950475,260.9111756014338
14030004,490.5211339524511,371.2995176113832,442.3028115245894,602.8822425893726,486.1786000262398,549.8330842246861,1256.6055179602984,376.9565779321095
14080202,454.7564141342048,433.35332546055446,366.50308105568297,564.2806286595361,462.3354984402461,511.6250783413328,1454.0158749009518,260.00385056799604
14010005,511.2578376653751,445.2922322948118,471.673161367917,583.8079552303079,513.2891114615486,561.7212729592425,1132.3178413014111,414.49043487099215
14050007,338.5308680691114,273.77118739985855,262.07475736887625,440.71493939323074,364.699861386483,395.1103723844339,1192.8376989821104,286.60637845269264
14060010,380.0542647361701,311.7939703083787,282.1941566510835,458.0888517908305,398.36443095196375,424.2784895702098,1109.6431884950855,346.31378625304967
14030001,302.1762370314903,213.02169415159477,243.62554045460396,394.6581247185847,353.52739073457724,371.6420692461602,1260.4041185727842,284.8701022663459
10180002,435.64962831810834,540.4524852076246,340.8576469575136,485.4590125649957,396.8091415909197,359.56046269712505,1117.0627121218106,536.0110598157678
14050003,383.0630437053319,342.8315187668694,270.79987384221613,471.5182437874933,397.95934398207686,423.2576920692267,1029.111375188798,497.426291767492
14040109,242.7906331219545,194.2890865126919,151.90107510377686,356.31065331770185,297.3306722603582,257.6836319789369,1068.5530726843683,346.28475070584915
14040107,318.0175942413895,293.69068427925646,195.53693297117616,401.5318929307565,376.2908017890375,324.640659356494,1008.7280796519884,369.19132991638855
14040108,352.797996143526,307.80708340663784,197.32772973666223,456.8145368809053,420.0525827745446,363.7498978652412,1028.67341411869,337.1742870886274
16010101,466.7019775404708,432.1235028937587,329.85254730550525,522.369674079269,512.47528202761,447.275879460012,1001.6549976781812,489.67460319069033
16020101,617.8731706099326,489.0297742936917,539.4612199445257,642.109310918224,640.9958422446658,640.2987546237534,1054.5666517513423,685.7121026060983
10080001,371.2047960775676,,,,,,977.6835165119924,495.2828178577098
14040101,406.1725900183185,,,,,,919.3803462340808,507.2850777889199
17040102,515.0759719061134,,,,,,858.7858462081298,751.9388681119099
17040103,574.6819135030103,,,,,,906.7507988495884,836.7542418217239
10190002,574.6562776767136,,,,,,1078.55784209928,569.4160518389732
10190001,413.01825295971446,,,,,,1022.8303344208176,474.34115350559136
16060008,315.35157930919263,,,,,,1193.657685695507,313.5360067766898
15010011,258.23105177255627,,,,,,1380.4643532832636,240.3367628796695
15010015,211.03874804866848,,,,,,1561.063272912319,146.04488417203254
16060014,186.9512352578249,,,,,,1473.59081198976,179.39863407073543
16060015,166.7307344581423,,,,,,1709.582052042958,140.94367348242224
15080302,326.976562639337,,,,,,1839.7242119777316,280.74294451573303
15010010,234.43805030862384,,,,,,1680.0314208641646,192.07317265296808
15010005,346.74035757345365,,,,,,1626.716342254916,165.09957844910113
15030101,242.82452051516768,,,,,,1905.3590722472436,130.09071693567137
15010006,283.7137915997333,,,,,,1570.129635849516,195.2817135272544
15010009,234.03325566081935,,,,,,1509.8278463338502,209.45714266256653
15010003,362.9917617768175,,,,,,1487.946073496032,252.2400931696473
15030104,264.9014434918752,,,,,,1884.5926940168863,88.63367380208406
15030107,421.94779709412586,,,,,,1948.0537877132208,88.48981238810775
15050304,302.7348512213587,,,,,,1836.1335283488932,263.5996782691934
