huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et
15020011,343.228351080463,300.6914343419276,224.9101389124027,414.359011983345,425.871406144338,404.60856512603686
15020009,355.91427449944507,283.7355587719066,244.6537761764952,426.41636760372273,443.45819791169953,433.2035461896422
15060102,807.3165638757523,734.356905151362,865.4270788863181,779.2251185070759,842.3129132986724,792.83701290193
15060101,786.4964252894473,835.3477799230124,765.9492957519452,757.3708928469226,840.3882882073527,760.8310207909249
14020005,541.13456477136,418.7111081865621,432.6235002719912,609.1420786076511,591.0000089215097,628.386460599048
14080102,746.5776521227186,706.6784387144951,725.2095776954246,716.5316502189099,710.1999586295618,828.9517630182595
14020002,583.6277182821582,576.0736088047985,531.8273106395263,563.1537950123679,555.1093033441723,591.1184607677792
14010004,625.0519201546892,608.631754905144,576.2016061343359,582.1373639459091,542.7702020625153,653.4531066449783
14010003,593.931824937649,579.5206369348801,542.7120208370429,547.3217859153278,549.0776393744197,608.7481426645504
14020004,694.1189752754988,645.1027606516809,656.3756272131415,701.383134260798,616.5244519296989,743.0740809612563
14050006,520.9734111644049,433.96210729496255,451.1512580959849,526.2771127763962,586.6828037709884,543.9110369633868
14050005,580.027508197295,493.51496599352765,567.5823083017533,570.1366611183632,566.5022480963819,576.4605877807675
10180001,503.20279916280055,525.7332810010532,438.1771733653328,474.2973249884176,509.78662113937054,407.4779033700603
14050002,416.4587314763886,320.3222437033617,350.93537621331075,444.1986035197912,521.6599786929694,440.9910824427556
10190005,629.4922703611293,604.2113547278802,642.0353112795345,636.9587625739185,617.6038390807136,532.3180937795488
14010002,536.2514839755765,587.3974650042986,507.5595430878941,450.8860704726369,467.00772142586806,448.6004341740168
10190004,575.4623398979235,554.0209922537829,582.0952123213649,595.0176828377768,545.8643578172198,495.3786231453368
14020001,595.2108581933766,641.1051888364327,530.370211738466,519.5924364581525,508.1473443191093,609.3830908838116
14080103,371.44438115715946,355.6451572493442,249.4314409600974,432.1561277892529,471.4856874924704,425.9518288057977
