huc8,name,areaacres,states,region,et_ssebop,et_fano,etr,precip,rf,et_wb,et_ssebop_filter,et_fano_filter,et_wb_filter
1060003,Piscataqua-Salmon Falls,1105883.52,"MA,ME,NH",Northeast,771.48595,832.3831669,1151.143507,nan,558.6,nan,771.48595,832.3831669,nan
1070006,Merrimack River,1152254.43,"MA,NH",Northeast,732.9396814,802.8289284,1134.261781,1214.224916,0,1214.224916,732.9396814,802.8289284,nan
9020311,Middle Red,1575944.88,"CN,MN,ND",Midwest,447.2232956,423.4563264,963.5718121,nan,85.63969298,nan,447.2232956,423.4563264,nan
1050002,Maine Coastal,3083382.5,ME,Northeast,755.8607511,790.568032,1042.647768,nan,934.1781481,nan,755.8607511,790.568032,nan
1050003,St. George-Sheepscot,876271.98,ME,Northeast,710.2850955,794.039221,1058.235307,nan,687.4,nan,710.2850955,794.039221,nan
1060001,Presumpscot,911390.01,ME,Northeast,720.0236283,778.2797707,1093.728469,nan,802,nan,720.0236283,778.2797707,nan
7010207,Rum,1014368.11,MN,Midwest,545.1299726,556.0898121,1026.665217,692.0282472,194.7,497.3282472,545.1299726,556.0898121,497.3282472
7010201,Platte-Spunk,656031.9,MN,Midwest,645.0565678,552.0005608,1067.791433,725.3284278,160.6,564.7284278,645.0565678,552.0005608,564.7284278
7030004,Snake,644050.2,MN,Midwest,438.9841518,490.8892845,1004.4624,685.5505246,212.197076,473.3534486,438.9841518,490.8892845,473.3534486
7010206,Twin Cities,644770.1,MN,Midwest,501.4045827,472.375476,1080.236737,800.7827548,155.9948276,644.7879272,501.4045827,472.375476,644.7879272
7010202,Sauk,667403.09,MN,Midwest,617.6196785,527.552176,1064.130049,703.5764623,163.3,540.2764623,617.6196785,527.552176,540.2764623
10060001,Prairie Elk-Wolf,1295906.4,MT,Great Plains,479.8350154,377.3086903,1228.59273,469.3725355,41.5,427.8725355,nan,377.3086903,427.8725355
10060002,Redwater,1353606.49,MT,Great Plains,483.4936086,391.9819446,1316.678328,487.6094625,7.9,479.7094625,483.4936086,391.9819446,479.7094625
10040104,Fort Peck Reservoir,3360596.81,MT,Great Plains,436.3478697,428.9634801,1351.647878,521.184477,36.28402116,484.9004558,436.3478697,428.9634801,484.9004558
10050012,Lower Milk,963167.31,MT,Great Plains,371.8410242,306.4270236,1236.733447,421.7408815,16,405.7408815,371.8410242,306.4270236,405.7408815
10050009,Peoples,454656.91,MT,Great Plains,492.4360106,460.7150228,1287.205614,623.5943828,52.5,571.0943828,492.4360106,460.7150228,571.0943828
10030203,Marias,2363839.91,MT,Great Plains,385.2168573,293.5752792,1306.478743,416.8657984,40.8,376.0657984,385.2168573,293.5752792,376.0657984
10070003,Shields,546571.6,MT,Great Plains,368.2893801,411.1821707,1116.218943,582.9031321,59.2,523.7031321,368.2893801,411.1821707,523.7031321
10020005,Jefferson,831916.25,MT,Great Plains,357.9057342,362.2496897,1124.845837,407.218213,45.11294643,362.1052666,357.9057342,362.2496897,362.1052666
10070008,Pryor,390831.06,MT,Great Plains,396.5242353,412.3866997,1364.471348,449.3870595,62.8,386.5870595,396.5242353,412.3866997,386.5870595
2020001,Upper Hudson,1064814.27,NY,Northeast,612.1581926,684.3146746,930.2461762,1195.621329,692.4,nan,612.1581926,684.3146746,nan
4150305,Raquette,806047.72,NY,Northeast,585.4813232,652.3856046,879.220666,1224.439769,738.2,nan,585.4813232,652.3856046,nan
4150101,Black,1220444.82,NY,Midwest,565.3639296,636.7147602,889.8079305,1222.25301,751.5793103,nan,565.3639296,636.7147602,nan
4150102,Chaumont-Perch,203232.68,NY,Midwest,608.5589939,646.2816427,962.0290004,999.8686987,752,nan,608.5589939,646.2816427,nan
10130105,Lower Lake Oahe,2453135.36,SD,Great Plains,558.3226072,487.1191932,1293.582452,461.9013238,28.7,433.2013238,nan,nan,433.2013238
4150403,Winooski River,680464.23,VT,Northeast,630.6398306,691.8241958,907.2390409,1331.224608,0,1331.224608,630.6398306,691.8241958,nan
4150402,Otter Creek,603618.07,VT,Northeast,688.5597396,741.7500745,1024.984376,1219.779876,4.442236025,1215.33764,688.5597396,741.7500745,nan
17110011,Snohomish,189946.58,WA,Pacific Northwest,588.1079204,606.3010483,823.7132709,1889.134625,1704.281481,nan,588.1079204,606.3010483,nan
17110019,Puget Sound,1569922.24,WA,Pacific Northwest,622.5535724,644.9030531,903.0911423,nan,345.5596811,nan,622.5535724,644.9030531,nan
17110012,Lake Washington,388533.47,WA,Pacific Northwest,593.3118045,621.2655843,886.5031044,1638.987507,1581.5,nan,593.3118045,621.2655843,nan
17110010,Snoqualmie,442008.91,WA,Pacific Northwest,653.8538294,682.2291872,841.3333828,2845.154663,2463.7,nan,653.8538294,682.2291872,nan
17110009,Skykomish,532878.12,WA,Pacific Northwest,652.0041371,669.4214987,848.6171253,3032.827386,2606.6,nan,652.0041371,669.4214987,nan
7070003,Castle Rock,2079621.65,WI,Midwest,633.5592976,623.4378853,1040.087493,912.7525701,318.3,594.4525701,633.5592976,623.4378853,594.4525701
7050001,Upper Chippewa,1235286.39,WI,Midwest,562.2105938,647.6308775,974.8471952,853.5084794,326.3609756,527.1475038,562.2105938,647.6308775,527.1475038
7040007,Black,1456561.29,WI,Midwest,639.3013601,622.9985437,1022.839497,933.115729,352.265625,580.850104,639.3013601,622.9985437,580.850104
7050005,Lower Chippewa,1318246.63,WI,Midwest,578.7360863,569.3340845,1024.591977,805.9458625,295.955493,509.9903695,578.7360863,569.3340845,509.9903695
10080008,Nowood,1287233.39,WY,Great Plains,261.6886393,279.1214417,1166.024479,397.4126123,24.3,373.1126123,261.6886393,279.1214417,373.1126123
17040101,Snake Headwaters,1094937.85,WY,Great Plains,337.9862573,490.3754373,1095.104073,873.5614188,592.9,nan,337.9862573,490.3754373,nan
9020314,Roseau,1321215.91,"CN,MN",Midwest,492.1687095,481.2159842,913.5500608,nan,88.50236842,nan,492.1687095,481.2159842,nan
9030009,Lake of the Woods,3395333.95,"CN,MN",Midwest,650.6063516,640.1922367,918.3598512,nan,89.4,nan,650.6063516,640.1922367,nan
9020312,Two Rivers,697383.59,"CN,MN",Midwest,460.4776102,432.3862504,934.0234782,624.1170956,93.7,530.4170956,460.4776102,432.3862504,530.4170956
9040001,St. Marys,948412.76,"CN,MT",Midwest,541.6599589,592.4826788,1050.944458,nan,0,nan,541.6599589,592.4826788,nan
10050001,Milk Headwaters,617601.05,"CN,MT",Midwest,435.9885671,408.955033,1130.237823,nan,25.3,nan,435.9885671,408.955033,nan
10050002,Upper Milk,1445414.17,"CN,MT",Great Plains,432.8274018,353.0792243,1232.777086,nan,23.2,nan,432.8274018,353.0792243,nan
10050006,Sage,633348.09,"CN,MT",Great Plains,356.3748741,285.346697,1260.311572,419.6253863,11.4,408.2253863,356.3748741,285.346697,408.2253863
9010004,Willow,1148878.5,"CN,ND",Midwest,497.1760936,479.7246352,1026.02405,658.0890027,21.2407855,636.8482172,497.1760936,479.7246352,636.8482172
9020316,Lower Pembina River,1623922.13,"CN,ND",Midwest,432.9344902,385.8542781,945.0902499,nan,0,nan,432.9344902,385.8542781,nan
9020315,Upper Pembina River,881910.56,"CN,ND",Midwest,473.0228462,401.7650968,984.5112627,nan,0,nan,473.0228462,401.7650968,nan
4150308,Chateaugay-English,739316.55,"CN,NY",Midwest,627.3566169,688.1933889,931.0893471,nan,0,nan,627.3566169,688.1933889,nan
